CODPARC;RAZAOSOCIAL;NOMEPARC;NOMECID;UF;CODREG;NOMEREG;NUNOTAPEDIDO;DTNEG;VLRPEDIDO;TOTAL_CAIXASPEDIDO;PESO_PEDIDO;NUNOTAVENDA;DTFATURAMENTO;VLRNOTA;TOTAL_CAIXASFATUR;PESO_NOTA;DTENTREGA;DIAS;FATURADOENTREGA;PEDIDOENTREGA;SEQUENCIA;STATUS;STATUS_DESC
2008;ATUAL SUPERMERCADO LTDA;ATUAL SUPERMERCADO-COMPRECLUBE;IELMO MARINHO;RN;10101800;RN - TRAIRI;289476;2025-11-07 00:00:00;3109.46;184;1262.208;289641;2025-11-07 00:00:00;3109.46;184;1262.208;2025-11-11 00:00:00;0;4;4;5;1;Entregue
2203;WILSON MEDEIROS DA SILVA;SR. WILSON AUDICONTA;Natal;RN;10100102;RN - NATAL SUL;288301;2025-11-04 00:00:00;222.84;6;31.092;288380;2025-11-04 00:00:00;222.84;6;31.092;2025-11-05 00:00:00;0;1;1;5;1;Entregue
6064;GABRIELA F DA COSTA CARVALHO;JOKINHA SUP. E PADARIA;LAGOA DE VELHOS;RN;10101800;RN - TRAIRI;293318;2025-11-21 00:00:00;252.05;10;115.01;294041;2025-11-24 00:00:00;252.05;10;115.01;;3;;;9;0;Em Rota
450;J L DE MEDEIROS & ARAUJO LTDA;REDE MAIS JOAO CAMARA;Joao Camara;RN;10101700;RN - SALINEIRA 2;289317;2025-11-06 00:00:00;4736.92;157;827.718;290086;2025-11-10 00:00:00;265.8;5;53.64;2025-11-10 00:00:00;4;0;4;1;1;Entregue
5530;NILTON PEREIRA DA SILVA;MERCADINHO PAI & FILHO;Fortaleza;CE;10700100;CE - OPERADOR LOGÍST;288597;2025-11-05 00:00:00;7928.7;242;1450.59;290601;2025-11-11 00:00:00;7928.7;242;1450.59;;6;;;62;0;Em Rota
833;MERCADINHO URUACU LTDA;MERC. URUACU;Sao Goncalo do Amarante;RN;10100200;RN - SÃO GONÇALO AMA;290117;2025-11-10 00:00:00;544.24;20;109.884;290249;2025-11-10 00:00:00;544.24;20;109.884;2025-11-11 00:00:00;0;1;1;12;1;Entregue
4755;CENTRAL SUPERMERCADOS LTDA;NONATO ATACAREJO UPANEMA;UPANEMA;RN;10101300;RN - MOSSORÓ;293235;2025-11-21 00:00:00;724.28;18;139.78;293559;2025-11-21 00:00:00;667.04;17;138.136;;0;;;10;0;Em Rota
585;SUPERMERCADO NOVA OPCAO LTDA;SUP. NOVA OPCAO - REDE SERIDO;SAO VICENTE;RN;10101100;RN - SERIDÓ 1;291210;2025-11-13 00:00:00;496.2;16;97.056;291692;2025-11-14 00:00:00;496.2;16;97.056;2025-11-19 00:00:00;1;5;6;11;1;Entregue
555;SUPERMERCADO RODRIGUES LTDA;SUP. RODRIGUES FILIAL REDE RN;Ceara-Mirim;RN;10101600;RN - SALINEIRA 1;288599;2025-11-05 00:00:00;818.88;20;104.1;289619;2025-11-07 00:00:00;818.88;20;104.1;2025-11-12 00:00:00;2;5;7;16;1;Entregue
540;REBOUCAS SUPERMERCADO LTDA;REBOUCAS ALTO DE SAO MANOEL;Mossoro;RN;10101300;RN - MOSSORÓ;288999;2025-11-06 00:00:00;1899.13;39;307.248;289764;2025-11-07 00:00:00;654.0;16;78.216;2025-11-11 00:00:00;1;4;5;7;1;Entregue
669;D S MINIMERCADO LTDA;MERC. FERREIRA - R.UNISUPERN;Natal;RN;10100101;RN - NATAL NORTE;290229;2025-11-10 00:00:00;277.68;10;49.704;290311;2025-11-10 00:00:00;277.68;10;49.704;2025-11-11 00:00:00;0;1;1;7;1;Entregue
883;SUPERMERCADO ESPERANCA LTDA;SUP. ESPERANCA;RIO DO FOGO;RN;10101600;RN - SALINEIRA 1;292859;2025-11-19 00:00:00;287.64;10;111.024;293576;2025-11-21 00:00:00;287.64;10;111.024;;2;;;6;0;Em Rota
